"eth_group","frequency","proportion","name"
"1",319953,0.924711635448248,"White"
"2",13748,0.0397337595338769,"Asian"
"3",3185,0.00920512249893787,"Black"
"4",6180,0.0178611168111259,"Mixed"
"5",2937,0.00848836570781178,"Other"
