"hhsize_group","frequency","proportion","name"
"1",49716,0.146117808879458,"1"
"2",139851,0.411029078960517,"2"
"3",56129,0.164965936410715,"3"
"4",63384,0.186288744026381,"4"
"5",31166,0.0915984317229299,"5+"
